店名,住所,営業時間,定休日,座席,緯度,経度
ゴーゴーロッキー,〒454-0971 愛知県名古屋市中川区富田町千音寺松の木315,11:00～14:00／17:30～21:00[土] 11:00～14:00／17:00～21:30,火曜、第2・4月曜,,35.160587,136.809921
ミゾグチヤ,〒465-0021 愛知県名古屋市名東区猪子石2-502  ユタカビル 1F,11:30〜14:00／18:00〜20:00,水曜日、不定休,18席,35.187542,137.003723
麺屋 あっ晴れ 弥富店,〒498-0014 愛知県弥富市五明町内川平465-1,11:30～14:30／17:30〜21:00,木曜日※祝日の場合は営業,12席,35.117802,136.714432
ラーメン極 東浦店,〒470-2102 愛知県知多郡東浦町大字緒川字下汐田19-9,11:00〜15:00／17:00〜23:00,,,34.977222,136.969208
笑顔の為に 名古屋店,〒454-0022 愛知県名古屋市中川区露橋2-15-53,11:00～14:00／18:00～22:00,木曜日,,35.148701,136.885178
麺屋しずる 豊川店,〒442-0889 愛知県豊川市南大通5-11,11:00〜14:00／18:00〜22:30※売り切れ次第終了,月曜,,34.818333,137.373795
麺屋 しずる 蒲郡駅前店,〒443-0056 愛知県蒲郡市神明町1-1,11:00〜22:00（L.O.21:45）,無休,カウンターのみ12席,34.823372,137.226639
夢を語れ 愛知,〒467-0873 愛知県名古屋市瑞穂区竹田町4-10,11:00〜14:00／18:00〜21:00[月] 18:00〜21:00,木曜日,17席,35.138493,136.924728
まるぎん道場,〒445-0870 愛知県西尾市永吉町2-79,11:00～14:00／18:00～翌1:00※売切れ次第終了,火曜日,,34.860863,137.052414
麺屋あっ晴れ 津島店,〒496-0042 愛知県津島市寺前町1-29-1,,,,35.185265,136.735092
極太濁流ラーメン ロッキー,〒497-0044 愛知県海部郡蟹江町蟹江新田上芝切70-1,11:00〜14:00（L.O.）／17:30〜21:00（L.O.）土曜 11:00〜14:00（L.O.）／17:30〜21:30（L.O.）日曜 11:00～14:00（L.O.）／17:30〜21:00（L.O.）,火曜日,カウンターのみ10席,35.124901,136.785767
ラーメン さわぎ,〒460-0007 愛知県名古屋市中区新栄2-10-29,11:30〜14:00／18:00〜23:00[火・水] 11:30〜14:00,無休,カウンター7席,35.168602,136.921356
鉄板あぶらーめん 長岡流,〒451-0061 愛知県名古屋市西区浄心1-1-48  浄心ステーションビル南館 1F,18:00〜翌2:30,月曜日,,35.192757,136.890625
麺屋 あっ晴れ どまん中錦店,愛知県名古屋市中区錦3-19-3,火～土11:30～15:00、18:00～23:30、日・祝11:30～20:00,毎週月曜日,カウンター11席,35.170471,136.903534
飛べ豚 東浦店,〒470-2100 愛知県知多郡生路池下61-11 ピボット池下1,11:00～15:00／18:00～21:00,木曜日,カウンター8席,34.932568,136.915512
ラーメン極,愛知県名古屋市名東区極楽3-96-1,11:00～15:00／17:00～21:00,月曜日,,35.155373,137.021896
麺屋 しずる 豊田鴛鴨店,〒470-1207 愛知県豊田市鴛鴨町高岡147-2,11:00〜22:30,,,35.036472,137.152679
ちいかわラーメン 豚 名古屋パルコ,〒460-0008 愛知県名古屋市中区栄3-29-1 名古屋パルコ 西館7F,11:00～21:00（最終入店20:30）,名古屋PARCOに準ずる,40席,35.164200,136.907303
マシマシスタンド 豊田店,〒471-0038 愛知県豊田市宮上町7-25  1F,11:30〜15:00／17:30〜22:00[木] 11:30〜15:00※ラストオーダーは各30分前,無休,,35.089970,137.133621
マシマシスタンド 安城緑町店,〒446-0055 愛知県安城市緑町1丁目8-18,11:30〜14:30〜22:00[土・日] 11:30〜15:00／17:30〜22:00※ラストオーダーは各30分前,月曜日,,34.974964,137.048843
ラーメン荘 歴史を刻め 八事店,〒468-0077 愛知県名古屋市天白区八事山528,11:00～14:00／18:00～21:00,日曜日,14席,35.135021,136.972595
